id;start_date;end_date;title;description;fonction;place
1;2024-11-25;2024-11-25;Forint Decentralized;District;Executive AI;Triple-buffered
2;2024-11-25;2024-11-24;IB Drives;Representative Investment Freeway;deposit lime red;eco-centric connect
3;2024-11-24;2024-11-25;quantify Incredible Sports;bus invoice;Sports Tools interface;Division bypassing
4;2024-11-25;2024-11-25;Bedfordshire Corporate Account;blue;Account;Home digital
5;2024-11-25;2024-11-24;Gorgeous;Plastic Dynamic;model connect programming;Romania Lari Crest
6;2024-11-25;2024-11-25;purple archive;cross-platform York Fields;applications alarm Diverse;Lead Officer Kids
7;2024-11-25;2024-11-25;bluetooth bus Dinar;Maryland programming Movies;engage Fantastic reciprocal;Tuna e-business Reactive
8;2024-11-25;2024-11-24;alarm;calculating Industrial mobile;Albania invoice;Response
9;2024-11-25;2024-11-25;Mouse;Burgs viral Consultant;Gloves;Credit Key
10;2024-11-25;2024-11-24;invoice;quantify;Analyst;utilize
